t_ms,gas_raw,temp_c,flame,gas_avg,temp_avg,dGas,dTemp,ml_state,final_state,alarm,suppression,label,label_name
1006000,942,42.6,0,832.4,40.9,-16.2,0.88,1,1,1,0,1,GAS_LEAK
1007000,889,32,0,880.2,39.6,47.8,-1.32,1,1,1,0,1,GAS_LEAK
1008000,938,33.4,0,910.4,35.9,30.2,-3.66,1,1,1,0,1,GAS_LEAK
1009000,872,37.1,0,892.8,35.5,-17.6,-0.4,1,1,1,0,1,GAS_LEAK
1010000,846,27.9,0,897.4,34.6,4.6,-0.94,1,1,1,0,1,GAS_LEAK
1011000,1023,33.1,0,913.6,32.7,16.2,-1.9,1,1,1,0,1,GAS_LEAK
1012000,817,29.4,0,899.2,32.2,-14.4,-0.52,1,1,1,0,1,GAS_LEAK
1013000,812,43.6,0,874,34.2,-25.2,2.04,1,1,1,0,1,GAS_LEAK
1014000,685,37.8,0,836.6,34.4,-37.4,0.14,1,1,1,0,1,GAS_LEAK
1015000,907,36.1,0,848.8,36,12.2,1.64,1,1,1,0,1,GAS_LEAK
1016000,922,47,0,828.6,38.8,-20.2,2.78,1,1,1,0,1,GAS_LEAK
1017000,789,31.4,0,823,39.2,-5.6,0.4,1,1,1,0,1,GAS_LEAK
1018000,824,26.3,0,825.4,35.7,2.4,-3.46,1,1,1,0,1,GAS_LEAK
1019000,711,35.6,0,830.6,35.3,5.2,-0.44,1,1,1,0,1,GAS_LEAK
1020000,723,46.7,0,793.8,37.4,-36.8,2.12,1,1,1,0,1,GAS_LEAK
1021000,958,20,0,801,32,7.2,-5.4,1,1,1,0,1,GAS_LEAK
1022000,779,33.2,0,799,32.4,-2,0.36,1,1,1,0,1,GAS_LEAK
1023000,882,35.4,0,810.6,34.2,11.6,1.82,1,1,1,0,1,GAS_LEAK
1024000,849,33.8,0,838.2,33.8,27.6,-0.36,1,1,1,0,1,GAS_LEAK
1025000,907,35.8,0,875,31.6,36.8,-2.18,1,1,1,0,1,GAS_LEAK
1026000,818,32.7,0,847,34.2,-28,2.54,1,1,1,0,1,GAS_LEAK
1027000,893,33.9,0,869.8,34.3,22.8,0.14,1,1,1,0,1,GAS_LEAK
1028000,976,32.2,0,888.6,33.7,18.8,-0.64,1,1,1,0,1,GAS_LEAK
1029000,856,44.2,0,890,35.8,1.4,2.08,1,1,1,0,1,GAS_LEAK
1030000,718,37.9,0,852.2,36.2,-37.8,0.42,1,1,1,0,1,GAS_LEAK
1031000,819,37.5,0,852.4,37.1,0.2,0.96,1,1,1,0,1,GAS_LEAK
1032000,815,41.3,0,836.8,38.6,-15.6,1.48,1,1,1,0,1,GAS_LEAK
1033000,759,39.3,0,793.4,40,-43.4,1.42,1,1,1,0,1,GAS_LEAK
1034000,952,35.4,0,812.6,38.3,19.2,-1.76,1,1,1,0,1,GAS_LEAK
1035000,953,33.4,0,859.6,37.4,47,-0.9,1,1,1,0,1,GAS_LEAK
1036000,688,32.4,0,833.4,36.4,-26.2,-1.02,1,1,1,0,1,GAS_LEAK
1037000,778,39.8,0,826,36.1,-7.4,-0.3,1,1,1,0,1,GAS_LEAK
1038000,844,44.2,0,843,37,17,0.98,1,1,1,0,1,GAS_LEAK
1039000,910,38.3,0,834.6,37.6,-8.4,0.58,1,1,1,0,1,GAS_LEAK
1040000,725,37.2,0,789,38.4,-45.6,0.76,1,1,1,0,1,GAS_LEAK
1041000,936,31.9,0,838.6,38.3,49.6,-0.1,1,1,1,0,1,GAS_LEAK
1042000,818,31.4,0,846.6,36.6,8,-1.68,1,1,1,0,1,GAS_LEAK
1043000,748,31.2,0,827.4,34,-19.2,-2.6,1,1,1,0,1,GAS_LEAK
1044000,688,50.2,0,783,36.4,-44.4,2.38,1,1,1,0,1,GAS_LEAK
1045000,953,28.7,0,828.6,34.7,45.6,-1.7,1,1,1,0,1,GAS_LEAK
1046000,663,40.6,0,774,36.4,-54.6,1.74,1,1,1,0,1,GAS_LEAK
1047000,932,32.4,0,796.8,36.6,22.8,0.2,1,1,1,0,1,GAS_LEAK
1048000,750,41.5,0,797.2,38.7,0.4,2.06,1,1,1,0,1,GAS_LEAK
1049000,913,32,0,842.2,35,45,-3.64,1,1,1,0,1,GAS_LEAK
1050000,738,35.2,0,799.2,36.3,-43,1.3,1,1,1,0,1,GAS_LEAK
1051000,952,25.2,0,857,33.3,57.8,-3.08,1,1,1,0,1,GAS_LEAK
1052000,806,40.3,0,831.8,34.8,-25.2,1.58,1,1,1,0,1,GAS_LEAK
1053000,907,39.3,0,863.2,34.4,31.4,-0.44,1,1,1,0,1,GAS_LEAK
1054000,819,38.3,0,844.4,35.7,-18.8,1.26,1,1,1,0,1,GAS_LEAK
1055000,784,29.3,0,853.6,34.5,9.2,-1.18,1,1,1,0,1,GAS_LEAK
1056000,845,33.6,0,832.2,36.2,-21.4,1.68,1,1,1,0,1,GAS_LEAK
1057000,983,42.9,0,867.6,36.7,35.4,0.52,1,1,1,0,1,GAS_LEAK
1058000,947,42.7,0,875.6,37.4,8,0.68,1,1,1,0,1,GAS_LEAK
1059000,774,34.8,0,866.6,36.7,-9,-0.7,1,1,1,0,1,GAS_LEAK
1060000,756,32.6,0,861,37.3,-5.6,0.66,1,1,1,0,1,GAS_LEAK
1061000,898,41.6,0,871.6,38.9,10.6,1.6,1,1,1,0,1,GAS_LEAK
1062000,912,31.8,0,857.4,36.7,-14.2,-2.22,1,1,1,0,1,GAS_LEAK
1063000,827,33.7,0,833.4,34.9,-24,-1.8,1,1,1,0,1,GAS_LEAK
1064000,848,49.9,0,848.2,37.9,14.8,3.02,1,1,1,0,1,GAS_LEAK
1065000,731,39.9,0,843.2,39.4,-5,1.46,1,1,1,0,1,GAS_LEAK
1066000,780,38.3,0,819.6,38.7,-23.6,-0.66,1,1,1,0,1,GAS_LEAK
1067000,848,34.7,0,806.8,39.3,-12.8,0.58,1,1,1,0,1,GAS_LEAK
1068000,762,44.2,0,793.8,41.4,-13,2.1,1,1,1,0,1,GAS_LEAK
1069000,687,34.3,0,761.6,38.3,-32.2,-3.12,1,1,1,0,1,GAS_LEAK
1070000,774,35.3,0,770.2,37.4,8.6,-0.92,1,1,1,0,1,GAS_LEAK
1071000,789,26,0,772,34.9,1.8,-2.46,1,1,1,0,1,GAS_LEAK
1072000,833,36.6,0,769,35.3,-3,0.38,1,1,1,0,1,GAS_LEAK
1073000,821,36.6,0,780.8,33.8,11.8,-1.52,1,1,1,0,1,GAS_LEAK
1074000,729,35.2,0,789.2,33.9,8.4,0.18,1,1,1,0,1,GAS_LEAK
1075000,851,44.3,0,804.6,35.7,15.4,1.8,1,1,1,0,1,GAS_LEAK
1076000,888,39.7,0,824.4,38.5,19.8,2.74,1,1,1,0,1,GAS_LEAK
1077000,812,29.2,0,820.2,37,-4.2,-1.48,1,1,1,0,1,GAS_LEAK
1078000,716,38,0,799.2,37.3,-21,0.28,1,1,1,0,1,GAS_LEAK
1079000,701,36.6,0,793.6,37.6,-5.6,0.28,1,1,1,0,1,GAS_LEAK
1080000,737,42.1,0,770.8,37.1,-22.8,-0.44,1,1,1,0,1,GAS_LEAK
1081000,960,36.3,0,785.2,36.4,14.4,-0.68,1,1,1,0,1,GAS_LEAK
1082000,943,25.3,0,811.4,35.7,26.2,-0.78,1,1,1,0,1,GAS_LEAK
1083000,887,35.6,0,845.6,35.2,34.2,-0.48,1,1,1,0,1,GAS_LEAK
1084000,854,37,0,876.2,35.3,30.6,0.08,1,1,1,0,1,GAS_LEAK
1085000,811,35.4,0,891,33.9,14.8,-1.34,1,1,1,0,1,GAS_LEAK
1086000,858,37.4,0,870.6,34.1,-20.4,0.22,1,1,1,0,1,GAS_LEAK
1087000,716,38.1,0,825.2,36.7,-45.4,2.56,1,1,1,0,1,GAS_LEAK
1088000,859,45.3,0,819.6,38.6,-5.6,1.94,1,1,1,0,1,GAS_LEAK
1089000,839,38,0,816.6,38.8,-3,0.2,1,1,1,0,1,GAS_LEAK
1090000,734,44.4,0,801.2,40.6,-15.4,1.8,1,1,1,0,1,GAS_LEAK
1091000,809,34.4,0,791.4,40,-9.8,-0.6,1,1,1,0,1,GAS_LEAK
1092000,838,24.7,0,815.8,37.4,24.4,-2.68,1,1,1,0,1,GAS_LEAK
1093000,834,39.9,0,810.8,36.3,-5,-1.08,1,1,1,0,1,GAS_LEAK
1094000,973,42.5,0,837.6,37.2,26.8,0.9,1,1,1,0,1,GAS_LEAK
1095000,837,33.9,0,858.2,35.1,20.6,-2.1,1,1,1,0,1,GAS_LEAK
1096000,802,29.6,0,856.8,34.1,-1.4,-0.96,1,1,1,0,1,GAS_LEAK
1097000,834,28.5,0,856,34.9,-0.8,0.76,1,1,1,0,1,GAS_LEAK
1098000,756,34.8,0,840.4,33.9,-15.6,-1.02,1,1,1,0,1,GAS_LEAK
1099000,805,41.2,0,806.8,33.6,-33.6,-0.26,1,1,1,0,1,GAS_LEAK
1100000,810,43.5,0,801.4,35.5,-5.4,1.92,1,1,1,0,1,GAS_LEAK
1101000,909,49.1,0,822.8,39.4,21.4,3.9,1,1,1,0,1,GAS_LEAK
1102000,895,38.2,0,835,41.4,12.2,1.94,1,1,1,0,1,GAS_LEAK
1103000,824,26.9,0,848.6,39.8,13.6,-1.58,1,1,1,0,1,GAS_LEAK
1104000,780,32.1,0,843.6,38,-5,-1.82,1,1,1,0,1,GAS_LEAK
1105000,857,36.6,0,853,36.6,9.4,-1.38,1,1,1,0,1,GAS_LEAK
1106000,949,33,0,861,33.4,8,-3.22,1,1,1,0,1,GAS_LEAK
1107000,841,41,0,850.2,33.9,-10.8,0.56,1,1,1,0,1,GAS_LEAK
1108000,709,43.1,0,827.2,37.2,-23,3.24,1,1,1,0,1,GAS_LEAK
1109000,802,29,0,831.6,36.5,4.4,-0.62,1,1,1,0,1,GAS_LEAK
1110000,914,35.5,0,843,36.3,11.4,-0.22,1,1,1,0,1,GAS_LEAK
1111000,839,36.8,0,821,37.1,-22,0.76,1,1,1,0,1,GAS_LEAK
1112000,791,45.5,0,811,38,-10,0.9,1,1,1,0,1,GAS_LEAK
1113000,910,31.4,0,851.2,35.6,40.2,-2.34,1,1,1,0,1,GAS_LEAK
1114000,831,47.5,0,857,39.3,5.8,3.7,1,1,1,0,1,GAS_LEAK
1115000,890,40.8,0,852.2,40.4,-4.8,1.06,1,1,1,0,1,GAS_LEAK
1116000,813,45.6,0,847,42.2,-5.2,1.76,1,1,1,0,1,GAS_LEAK
1117000,733,38.5,0,835.4,40.8,-11.6,-1.4,1,1,1,0,1,GAS_LEAK
1118000,747,48.2,0,802.8,44.1,-32.6,3.36,1,1,1,0,1,GAS_LEAK
1119000,684,42,0,773.4,43,-29.4,-1.1,1,1,1,0,1,GAS_LEAK
1120000,755,37.3,0,746.4,42.3,-27,-0.7,1,1,1,0,1,GAS_LEAK
1121000,857,44,0,755.2,42,8.8,-0.32,1,1,1,0,1,GAS_LEAK
1122000,874,28.9,0,783.4,40.1,28.2,-1.92,1,1,1,0,1,GAS_LEAK
1123000,743,43.6,0,782.6,39.2,-0.8,-0.92,1,1,1,0,1,GAS_LEAK
1124000,922,35.5,0,830.2,37.9,47.6,-1.3,1,1,1,0,1,GAS_LEAK
1125000,843,33.7,0,847.8,37.1,17.6,-0.72,1,1,1,0,1,GAS_LEAK
1126000,752,36.9,0,826.8,35.7,-21,-1.42,1,1,1,0,1,GAS_LEAK
1127000,851,31.1,0,822.2,36.2,-4.6,0.44,1,1,1,0,1,GAS_LEAK
1128000,792,26.4,0,832,32.7,9.8,-3.44,1,1,1,0,1,GAS_LEAK
1129000,984,31.5,0,844.4,31.9,12.4,-0.8,1,1,1,0,1,GAS_LEAK
1130000,976,36.5,0,871,32.5,26.6,0.56,1,1,1,0,1,GAS_LEAK
1131000,751,32.1,0,870.8,31.5,-0.2,-0.96,1,1,1,0,1,GAS_LEAK
1132000,898,38.4,0,880.2,33,9.4,1.46,1,1,1,0,1,GAS_LEAK
1133000,983,35.2,0,918.4,34.7,38.2,1.76,1,1,1,0,1,GAS_LEAK
1134000,861,32.3,0,893.8,34.9,-24.6,0.16,1,1,1,0,1,GAS_LEAK
1135000,881,29.5,0,874.8,33.5,-19,-1.4,1,1,1,0,1,GAS_LEAK
1136000,909,41.5,0,906.4,35.4,31.6,1.88,1,1,1,0,1,GAS_LEAK
1137000,908,39.8,0,908.4,35.7,2,0.28,1,1,1,0,1,GAS_LEAK
1138000,846,27.5,0,881,34.1,-27.4,-1.54,1,1,1,0,1,GAS_LEAK
1139000,901,33.6,0,889,34.4,8,0.26,1,1,1,0,1,GAS_LEAK
1140000,784,32.8,0,869.6,35,-19.4,0.66,1,1,1,0,1,GAS_LEAK
1141000,835,48.6,0,854.8,36.5,-14.8,1.42,1,1,1,0,1,GAS_LEAK
1142000,838,36.7,0,840.8,35.8,-14,-0.62,1,1,1,0,1,GAS_LEAK
1143000,863,35.3,0,844.2,37.4,3.4,1.56,1,1,1,0,1,GAS_LEAK
1144000,960,40.6,0,856,38.8,11.8,1.4,1,1,1,0,1,GAS_LEAK
1145000,882,29.7,0,875.6,38.2,19.6,-0.62,1,1,1,0,1,GAS_LEAK
1146000,762,46.1,0,861,37.7,-14.6,-0.5,1,1,1,0,1,GAS_LEAK
1147000,988,38.9,0,891,38.1,30,0.44,1,1,1,0,1,GAS_LEAK
1148000,851,27.3,0,888.6,36.5,-2.4,-1.6,1,1,1,0,1,GAS_LEAK
1149000,777,40.8,0,852,36.6,-36.6,0.04,1,1,1,0,1,GAS_LEAK
1150000,831,43.1,0,841.8,39.2,-10.2,2.68,1,1,1,0,1,GAS_LEAK
1151000,939,29.8,0,877.2,36,35.4,-3.26,1,1,1,0,1,GAS_LEAK
1152000,756,30.2,0,830.8,34.2,-46.4,-1.74,1,1,1,0,1,GAS_LEAK
1153000,662,37.3,0,793,36.2,-37.8,2,1,1,1,0,1,GAS_LEAK
1154000,837,39,0,805,35.9,12,-0.36,1,1,1,0,1,GAS_LEAK
1155000,707,27.9,0,780.2,32.8,-24.8,-3.04,1,1,1,0,1,GAS_LEAK
1156000,774,35.3,0,747.2,33.9,-33,1.1,1,1,1,0,1,GAS_LEAK
1157000,771,40.8,0,750.2,36.1,3,2.12,1,1,1,0,1,GAS_LEAK
1158000,902,50.1,0,798.2,38.6,48,2.56,1,1,1,0,1,GAS_LEAK
1159000,774,37.1,0,785.6,38.2,-12.6,-0.38,1,1,1,0,1,GAS_LEAK
1160000,841,41.1,0,812.4,40.9,26.8,2.64,1,1,1,0,1,GAS_LEAK
1161000,826,26.1,0,822.8,39,10.4,-1.84,1,1,1,0,1,GAS_LEAK
1162000,713,39.6,0,811.2,38.8,-11.6,-0.24,1,1,1,0,1,GAS_LEAK
1163000,791,43.8,0,789,37.5,-22.2,-1.26,1,1,1,0,1,GAS_LEAK
1164000,729,27,0,780,35.5,-9,-2.02,1,1,1,0,1,GAS_LEAK
1165000,820,34.5,0,775.8,34.2,-4.2,-1.32,1,1,1,0,1,GAS_LEAK
1166000,902,38.8,0,791,36.7,15.2,2.54,1,1,1,0,1,GAS_LEAK
1167000,897,30.4,0,827.8,34.9,36.8,-1.84,1,1,1,0,1,GAS_LEAK
1168000,861,30.9,0,841.8,32.3,14,-2.58,1,1,1,0,1,GAS_LEAK
1169000,842,35.8,0,864.4,34.1,22.6,1.76,1,1,1,0,1,GAS_LEAK
1170000,849,36.9,0,870.2,34.6,5.8,0.48,1,1,1,0,1,GAS_LEAK
1171000,754,34.6,0,840.6,33.7,-29.6,-0.84,1,1,1,0,1,GAS_LEAK
1172000,738,33.9,0,808.8,34.4,-31.8,0.7,1,1,1,0,1,GAS_LEAK
1173000,828,35.2,0,802.2,35.3,-6.6,0.86,1,1,1,0,1,GAS_LEAK
1174000,724,43.6,0,778.6,36.8,-23.6,1.56,1,1,1,0,1,GAS_LEAK
1175000,994,31.3,0,807.6,35.7,29,-1.12,1,1,1,0,1,GAS_LEAK
1176000,889,37.3,0,834.6,36.3,27,0.54,1,1,1,0,1,GAS_LEAK
1177000,885,39.7,0,864,37.4,29.4,1.16,1,1,1,0,1,GAS_LEAK
1178000,907,39.5,0,879.8,38.3,15.8,0.86,1,1,1,0,1,GAS_LEAK
1179000,830,33.7,0,901,36.3,21.2,-1.98,1,1,1,0,1,GAS_LEAK
1180000,843,22.9,0,870.8,34.6,-30.2,-1.68,1,1,1,0,1,GAS_LEAK
1181000,969,38.1,0,886.8,34.8,16,0.16,1,1,1,0,1,GAS_LEAK
1182000,1023,34.5,0,914.4,33.7,27.6,-1.04,1,1,1,0,1,GAS_LEAK
1183000,805,29.3,0,894,31.7,-20.4,-2.04,1,1,1,0,1,GAS_LEAK
1184000,943,34.3,0,916.6,31.8,22.6,0.12,1,1,1,0,1,GAS_LEAK
1185000,733,37.4,0,894.6,34.7,-22,2.9,1,1,1,0,1,GAS_LEAK
1186000,699,29.8,0,840.6,33.1,-54,-1.66,1,1,1,0,1,GAS_LEAK
1187000,780,39.7,0,792,34.1,-48.6,1.04,1,1,1,0,1,GAS_LEAK
1188000,772,35,0,785.4,35.2,-6.6,1.14,1,1,1,0,1,GAS_LEAK
1189000,715,46.3,0,739.8,37.6,-45.6,2.4,1,1,1,0,1,GAS_LEAK
1190000,984,38.1,0,790,37.8,50.2,0.14,1,1,1,0,1,GAS_LEAK
1191000,999,30.8,0,850,38,60,0.2,1,1,1,0,1,GAS_LEAK
1192000,994,32.9,0,892.8,36.6,42.8,-1.36,1,1,1,0,1,GAS_LEAK
1193000,892,35.9,0,916.8,36.8,24,0.18,1,1,1,0,1,GAS_LEAK
1194000,1023,42.1,0,978.4,36,61.6,-0.84,1,1,1,0,1,GAS_LEAK
1195000,664,29.8,0,914.4,34.3,-64,-1.66,1,1,1,0,1,GAS_LEAK
1196000,799,34.6,0,874.4,35.1,-40,0.76,1,1,1,0,1,GAS_LEAK
1197000,892,33.6,0,854,35.2,-20.4,0.14,1,1,1,0,1,GAS_LEAK
1198000,884,39.3,0,852.4,35.9,-1.6,0.68,1,1,1,0,1,GAS_LEAK
1199000,876,31,0,823,33.7,-29.4,-2.22,1,1,1,0,1,GAS_LEAK
1200000,868,31.6,0,863.8,34,40.8,0.36,1,1,1,0,1,GAS_LEAK
1201000,878,24.1,0,879.6,31.9,15.8,-2.1,1,1,1,0,1,GAS_LEAK
1202000,789,36.3,0,859,32.5,-20.6,0.54,1,1,1,0,1,GAS_LEAK
1203000,1009,31,0,884,30.8,25,-1.66,1,1,1,0,1,GAS_LEAK
1204000,845,29.8,0,877.8,30.6,-6.2,-0.24,1,1,1,0,1,GAS_LEAK
1205000,885,34.3,0,881.2,31.1,3.4,0.54,1,1,1,0,1,GAS_LEAK
1206000,879,26.9,0,881.4,31.7,0.2,0.56,1,1,1,0,1,GAS_LEAK
1207000,737,27.9,0,871,30,-10.4,-1.68,1,1,1,0,1,GAS_LEAK
1208000,745,39.9,0,818.2,31.8,-52.8,1.78,1,1,1,0,1,GAS_LEAK
1209000,917,38.7,0,832.6,33.5,14.4,1.78,1,1,1,0,1,GAS_LEAK
1210000,834,41.1,0,822.4,34.9,-10.2,1.36,1,1,1,0,1,GAS_LEAK
1211000,708,34.8,0,788.2,36.5,-34.2,1.58,1,1,1,0,1,GAS_LEAK
1212000,870,41.5,0,814.8,39.2,26.6,2.72,1,1,1,0,1,GAS_LEAK
1213000,928,32.3,0,851.4,37.7,36.6,-1.52,1,1,1,0,1,GAS_LEAK
1214000,831,30.1,0,834.2,36,-17.2,-1.72,1,1,1,0,1,GAS_LEAK
1215000,885,35.6,0,844.4,34.9,10.2,-1.1,1,1,1,0,1,GAS_LEAK
1216000,777,36.8,0,858.2,35.3,13.8,0.4,1,1,1,0,1,GAS_LEAK
1217000,898,40.9,0,863.8,35.1,5.6,-0.12,1,1,1,0,1,GAS_LEAK
1218000,950,35.1,0,868.2,35.7,4.4,0.56,1,1,1,0,1,GAS_LEAK
1219000,867,41.5,0,875.4,38,7.2,2.28,1,1,1,0,1,GAS_LEAK
1220000,711,36.3,0,840.6,38.1,-34.8,0.14,1,1,1,0,1,GAS_LEAK
1221000,930,44.2,0,871.2,39.6,30.6,1.48,1,1,1,0,1,GAS_LEAK
1222000,1023,31.8,0,896.2,37.8,25,-1.82,1,1,1,0,1,GAS_LEAK
1223000,743,36.8,0,854.8,38.1,-41.4,0.34,1,1,1,0,1,GAS_LEAK
1224000,775,26.9,0,836.4,35.2,-18.4,-2.92,1,1,1,0,1,GAS_LEAK
1225000,830,40.3,0,860.2,36,23.8,0.8,1,1,1,0,1,GAS_LEAK
1226000,857,32.8,0,845.6,33.7,-14.6,-2.28,1,1,1,0,1,GAS_LEAK
1227000,753,42.2,0,791.6,35.8,-54,2.08,1,1,1,0,1,GAS_LEAK
1228000,816,30.1,0,806.2,34.5,14.6,-1.34,1,1,1,0,1,GAS_LEAK
1229000,865,36.8,0,824.2,36.4,18,1.98,1,1,1,0,1,GAS_LEAK
1230000,930,29.5,0,844.2,34.3,20,-2.16,1,1,1,0,1,GAS_LEAK
1231000,808,38.6,0,834.4,35.4,-9.8,1.16,1,1,1,0,1,GAS_LEAK
1232000,758,36.2,0,835.4,34.2,1,-1.2,1,1,1,0,1,GAS_LEAK
1233000,776,35.9,0,827.4,35.4,-8,1.16,1,1,1,0,1,GAS_LEAK
1234000,980,36.6,0,850.4,35.4,23,-0.04,1,1,1,0,1,GAS_LEAK
1235000,726,52.9,0,809.6,40,-40.8,4.68,1,1,1,0,1,GAS_LEAK
1236000,899,37.1,0,827.8,39.7,18.2,-0.3,1,1,1,0,1,GAS_LEAK
1237000,722,32.2,0,820.6,38.9,-7.2,-0.8,1,1,1,0,1,GAS_LEAK
1238000,861,31.9,0,837.6,38.1,17,-0.8,1,1,1,0,1,GAS_LEAK
1239000,964,49.2,0,834.4,40.7,-3.2,2.52,1,1,1,0,1,GAS_LEAK
1240000,1023,29.7,0,893.8,36,59.4,-4.64,1,1,1,0,1,GAS_LEAK
1241000,666,53,0,847.2,39.2,-46.6,3.18,1,1,1,0,1,GAS_LEAK
1242000,841,40.1,0,871,40.8,23.8,1.58,1,1,1,0,1,GAS_LEAK
1243000,969,43.6,0,892.6,43.1,21.6,2.34,1,1,1,0,1,GAS_LEAK
1244000,852,44.2,0,870.2,42.1,-22.4,-1,1,1,1,0,1,GAS_LEAK
1245000,980,39.6,0,861.6,44.1,-8.6,1.98,1,1,1,0,1,GAS_LEAK
1246000,862,42.9,0,900.8,42.1,39.2,-2.02,1,1,1,0,1,GAS_LEAK
1247000,935,53.4,0,919.6,44.7,18.8,2.66,1,1,1,0,1,GAS_LEAK
1248000,850,44.9,0,895.8,45,-23.8,0.26,1,1,1,0,1,GAS_LEAK
1249000,650,45.7,0,855.4,45.3,-40.4,0.3,1,1,1,0,1,GAS_LEAK
1250000,820,37.3,0,823.4,44.8,-32,-0.46,1,1,1,0,1,GAS_LEAK
1251000,1023,36.4,0,855.6,43.5,32.2,-1.3,1,1,1,0,1,GAS_LEAK
1252000,663,34.3,0,801.2,39.7,-54.4,-3.82,1,1,1,0,1,GAS_LEAK
1253000,981,33.2,0,827.4,37.4,26.2,-2.34,1,1,1,0,1,GAS_LEAK
1254000,859,42.8,0,869.2,36.8,41.8,-0.58,1,1,1,0,1,GAS_LEAK
1255000,839,41.8,0,873,37.7,3.8,0.9,1,1,1,0,1,GAS_LEAK
1256000,842,29.8,0,836.8,36.4,-36.2,-1.32,1,1,1,0,1,GAS_LEAK
1257000,650,27.1,0,834.2,34.9,-2.6,-1.44,1,1,1,0,1,GAS_LEAK
1258000,900,39.6,0,818,36.2,-16.2,1.28,1,1,1,0,1,GAS_LEAK
1259000,866,33.1,0,819.4,34.3,1.4,-1.94,1,1,1,0,1,GAS_LEAK
1260000,863,41.5,0,824.2,34.2,4.8,-0.06,1,1,1,0,1,GAS_LEAK
1261000,811,41.9,0,818,36.6,-6.2,2.42,1,1,1,0,1,GAS_LEAK
1262000,838,45.3,0,855.6,40.3,37.6,3.64,1,1,1,0,1,GAS_LEAK
1263000,993,40.5,0,874.2,40.5,18.6,0.18,1,1,1,0,1,GAS_LEAK
1264000,768,38.3,0,854.6,41.5,-19.6,1.04,1,1,1,0,1,GAS_LEAK
1265000,822,46.7,0,846.4,42.5,-8.2,1.04,1,1,1,0,1,GAS_LEAK
1266000,650,41.2,0,814.2,42.4,-32.2,-0.14,1,1,1,0,1,GAS_LEAK
1267000,762,39.9,0,799,41.3,-15.2,-1.08,1,1,1,0,1,GAS_LEAK
1268000,962,39,0,792.8,41,-6.2,-0.3,1,1,1,0,1,GAS_LEAK
1269000,849,41.5,0,809,41.7,16.2,0.64,1,1,1,0,1,GAS_LEAK
1270000,878,43.8,0,820.2,41.1,11.2,-0.58,1,1,1,0,1,GAS_LEAK
1271000,1023,43.3,0,894.8,41.5,74.6,0.42,1,1,1,0,1,GAS_LEAK
1272000,817,37.7,0,905.8,41.1,11,-0.44,1,1,1,0,1,GAS_LEAK
1273000,962,31.8,0,905.8,39.6,0,-1.44,1,1,1,0,1,GAS_LEAK
1274000,1009,41.6,0,937.8,39.6,32,0.02,1,1,1,0,1,GAS_LEAK
1275000,968,40.8,0,955.8,39,18,-0.6,1,1,1,0,1,GAS_LEAK
1276000,802,40.5,0,911.6,38.5,-44.2,-0.56,1,1,1,0,1,GAS_LEAK
1277000,938,36.3,0,935.8,38.2,24.2,-0.28,1,1,1,0,1,GAS_LEAK
1278000,910,35.3,0,925.4,38.9,-10.4,0.7,1,1,1,0,1,GAS_LEAK
1279000,961,46.5,0,915.8,39.9,-9.6,0.98,1,1,1,0,1,GAS_LEAK
1280000,848,35.5,0,891.8,38.8,-24,-1.06,1,1,1,0,1,GAS_LEAK
1281000,861,39.7,0,903.6,38.7,11.8,-0.16,1,1,1,0,1,GAS_LEAK
1282000,786,28.7,0,873.2,37.1,-30.4,-1.52,1,1,1,0,1,GAS_LEAK
1283000,819,49.2,0,855,39.9,-18.2,2.78,1,1,1,0,1,GAS_LEAK
1284000,773,39.9,0,817.4,38.6,-37.6,-1.32,1,1,1,0,1,GAS_LEAK
1285000,839,30.7,0,815.6,37.6,-1.8,-0.96,1,1,1,0,1,GAS_LEAK
1286000,1015,32.9,0,846.4,36.3,30.8,-1.36,1,1,1,0,1,GAS_LEAK
1287000,964,51.8,0,882,40.9,35.6,4.62,1,1,1,0,1,GAS_LEAK
1288000,845,43.5,0,887.2,39.8,5.2,-1.14,1,1,1,0,1,GAS_LEAK
1289000,965,32.4,0,925.6,38.3,38.4,-1.5,1,1,1,0,1,GAS_LEAK
1290000,721,34.3,0,902,39,-23.6,0.72,1,1,1,0,1,GAS_LEAK
1291000,1001,38.4,0,899.2,40.1,-2.8,1.1,1,1,1,0,1,GAS_LEAK
1292000,923,44,0,891,38.5,-8.2,-1.56,1,1,1,0,1,GAS_LEAK
1293000,894,43.3,0,900.8,38.5,9.8,-0.04,1,1,1,0,1,GAS_LEAK
1294000,827,48.6,0,873.2,41.7,-27.6,3.24,1,1,1,0,1,GAS_LEAK
1295000,805,37.1,0,890,42.3,16.8,0.56,1,1,1,0,1,GAS_LEAK
1296000,906,50.2,0,871,44.6,-19,2.36,1,1,1,0,1,GAS_LEAK
1297000,824,38,0,851.2,43.4,-19.8,-1.2,1,1,1,0,1,GAS_LEAK
1298000,831,32.2,0,838.6,41.2,-12.6,-2.22,1,1,1,0,1,GAS_LEAK
1299000,779,37.4,0,829,39,-9.6,-2.24,1,1,1,0,1,GAS_LEAK
1300000,748,43.6,0,817.6,40.3,-11.4,1.3,1,1,1,0,1,GAS_LEAK
1301000,785,44.9,0,793.4,39.2,-24.2,-1.06,1,1,1,0,1,GAS_LEAK
1302000,829,40.4,0,794.4,39.7,1,0.48,1,1,1,0,1,GAS_LEAK
